Korean,Correct,Wrong,WrongKorean
셔츠,shirt,blouse,블라우스
블라우스,blouse,t-shirt,티셔츠
티셔츠,t-shirt,pants,바지
바지,pants,jeans,청바지
청바지,jeans,shorts,반바지
반바지,shorts,skirt,치마
치마,skirt,dress,드레스
드레스,dress,suit,양복
양복,suit,jacket,자켓
자켓,jacket,coat,코트
코트,coat,sweater,스웨터
스웨터,sweater,hoodie,후드티
후드티,hoodie,vest,조끼
조끼,vest,scarf,목도리
목도리,scarf,hat,모자
모자,hat,cap,캡
캡,cap,beanie,비니
비니,beanie,gloves,장갑
장갑,gloves,mittens,벙어리장갑
벙어리장갑,mittens,shoes,신발
신발,shoes,sandals,샌들
샌들,sandals,boots,부츠
부츠,boots,sneakers,운동화
운동화,sneakers,flip-flops,슬리퍼
슬리퍼,flip-flops,socks,양말
양말,socks,tights,스타킹
스타킹,tights,leggings,레깅스
레깅스,leggings,belt,벨트
벨트,belt,necklace,목걸이
목걸이,necklace,bracelet,팔찌
팔찌,bracelet,ring,반지
반지,ring,earrings,귀걸이
귀걸이,earrings,watch,시계
시계,watch,sunglasses,선글라스
선글라스,sunglasses,glasses,안경
안경,glasses,umbrella,우산
우산,umbrella,backpack,배낭
배낭,backpack,bag,가방
가방,bag,purse,지갑
지갑,purse,handbag,핸드백
핸드백,handbag,briefcase,서류가방
서류가방,briefcase,waistcoat,조끼
조끼,waistcoat,shawl,숄
숄,shawl,blazer,블레이저
블레이저,blazer,overcoat,외투
외투,overcoat,raincoat,비옷
비옷,raincoat,kimono,기모노
기모노,kimono,robe,가운
가운,robe,bathrobe,목욕가운
목욕가운,bathrobe,pajamas,잠옷
